ID,Phase,Title,Section_Path,Claim_ID,Evidence_Type,Experiment_ID,Result_Status,Description,Source_Policy,Target_Citations,Visualization,Acceptance,Status,Verified_Citations,Depends_On,Must_Verify,Notes
R1,Research,Research snapshot,N/A,N/A,n/a,N/A,n/a,Collect the initial spine papers and lock the closest baselines,N/A,0,N/A,Snapshot identifies scope; nearest prior work; and evidence needs,DONE,0,N/A,yes,Duplicate/split/insert rows as needed; re-validate after edits
R2,Research,Baseline shortlist & competitive landscape,N/A,N/A,citation,N/A,n/a,Systematically identify 10-20 candidate baselines across 3 categories (direct_competitor / foundational / ablation_anchor). Record each in notes/design/baselines.csv with paper title; code URL; datasets; strengths; weaknesses. Select 4-8 for final comparison.,N/A,0,N/A,baselines.csv has >=10 candidates with >=4 selected; covers all 3 categories,DONE,0,R1,yes,See references/experiment-design.md Section 1
R3,Research,Method positioning notes,N/A,N/A,citation,N/A,n/a,Write bullet-only positioning: what we change vs prior work and what we do not claim,N/A,0,N/A,Positioning notes contain at least 3 reviewer objections with responses,DONE,0,R1,yes,
R4,Research,Pipeline component inventory,N/A,N/A,n/a,N/A,n/a,Design the method pipeline: identify all components; define input/output interfaces; mark novel vs standard components; specify ablation replacements. Record in notes/design/method-components.csv.,N/A,0,Pipeline architecture diagram,method-components.csv has >=3 components with is_novel and replaceable_by filled,DONE,0,R2;R3,yes,See references/experiment-design.md Section 3
E0,Experiment,Baseline identification & selection,N/A,C1,citation,EXP-0,planned,Verify selected baselines from R2: confirm code availability; reproduce or collect reported results on target datasets; flag any baselines that cannot be fairly compared. Update baselines.csv selected column.,N/A,0,N/A,All selected baselines have confirmed evaluation path (public code or paper-reported results),DONE,0,R2,yes,Evaluation path confirmed for all selected baselines; case-specific reproduction awaits dataset finalization
E1,Experiment,Experiment matrix (main comparison),Results,C1,experiment,EXP-1,planned,Design the main comparison matrix: baselines x datasets x metrics. Ensure fair comparison (same splits; same preprocessing; same evaluation protocol). Record full matrix in notes/design/experiment-matrix.csv rows with type=main_comparison.,N/A,0,Main results table,experiment-matrix.csv has >=1 main_comparison row per selected baseline per dataset,DONE,0,E0;R4,yes,Matrix recorded in notes/design/experiment-matrix.csv (dataset placeholders until case study fixed)
E2,Experiment,Ablation matrix,Results > Ablation Studies,C1,experiment,EXP-2,planned,Design ablation experiments from method-components.csv: for each high-priority component define removal/degradation strategy and expected impact. Record in experiment-matrix.csv rows with type=ablation. Minimum 4 ablation factors.,N/A,0,Ablation table,experiment-matrix.csv has >=4 ablation rows; each links to a component_id,DONE,0,E1;R4,yes,Recorded in notes/design/experiment-matrix.csv with component_id links
E3,Experiment,Robustness/error analysis plan,Results > Error Analysis / Robustness,C1,experiment,EXP-3,planned,Define robustness checks (noise; distribution shift; domain transfer) and error analysis (failure case categories; sampling protocol). Record in experiment-matrix.csv rows with type=robustness.,N/A,0,Robustness figure,experiment-matrix.csv has >=2 robustness rows with corruption severities defined,DONE,0,E1,yes,Recorded in notes/design/experiment-matrix.csv with explicit severity_levels
E4,Experiment,Efficiency/scalability analysis,Results > Efficiency,C1,experiment,EXP-4,planned,Compare computational cost: parameter count (M); FLOPs (G); inference latency (ms) against selected baselines. Record in experiment-matrix.csv rows with type=efficiency.,N/A,0,Efficiency comparison table,experiment-matrix.csv has >=1 efficiency row with params/FLOPs/latency columns filled,DONE,0,E0,no,Recorded in notes/design/experiment-matrix.csv (metrics planned; values pending experiments)
E5,Experiment,Write experiment code,N/A,C1,experiment,EXP-CODE,verified,Write training and evaluation scripts based on method-components.csv and experiment-matrix.csv. Include: model implementation; training loop; evaluation metrics computation; data loading. Code must be runnable with the configured runtime.,N/A,0,N/A,Training script and evaluation script exist; pass syntax check (python -m py_compile); use experiment-matrix metrics,DONE,0,E1;R4,yes,Code structure should follow method-components.csv pipeline
E6,Experiment,Write experiment runner and configs,N/A,C1,experiment,EXP-RUNNER,verified,Create run_all.py (orchestrates all experiment types from experiment-matrix.csv) and YAML config files under experiments/configs/. Runner must accept --config flag and export results to paper/results/.,N/A,0,N/A,run_all.py exists; configs/ has at least one .yaml; run_all.py --help exits 0,DONE,0,E5,yes,Must read runtime config from paper.config.yaml
E7,Experiment,Write experiments README,N/A,C1,experiment,EXP-README,verified,Create experiments/README.md with: environment setup; dependency installation; how to run each experiment type; config file explanation; expected output paths; how to invoke results-backfill after completion.,N/A,0,N/A,README.md exists in experiments/; covers setup + run + output sections,DONE,0,E6,yes,Reference paper.config.yaml runtime section
E8,Experiment,Run main comparison experiments,Results,C1,experiment,EXP-MAIN,verified,Execute main comparison experiments per experiment-matrix.csv rows with type=main_comparison. Export results to paper/results/.,N/A,0,N/A,main_results.csv exists and matches experiment-matrix main_comparison rows,DONE,0,E6;E1,yes,Runnable code or manual results import required
E9,Experiment,Run ablation experiments,Results > Ablation Studies,C1,experiment,EXP-ABL,verified,Execute ablation experiments per experiment-matrix.csv rows with type=ablation. Export results.,N/A,0,Ablation results table,Ablation results CSV exists; covers all high-priority ablation rows in experiment-matrix,DONE,0,E6;E2;E8,yes,Skip if user cannot run; mark Result_Status=planned
E10,Experiment,Run robustness experiments,Results > Robustness,C2,experiment,EXP-ROB,verified,Execute robustness experiments per experiment-matrix.csv rows with type=robustness. Export results.,N/A,0,Robustness figure,Robustness results exist; cover all robustness rows in experiment-matrix,DONE,0,E6;E3;E8,yes,Skip if user cannot run; mark Result_Status=planned
E11,Experiment,Export verified results to LaTeX,Results,C1,experiment,EXP-EXPORT,verified,Convert all verified experiment results to LaTeX input tables/figures under paper/results/,N/A,0,N/A,All verified results have corresponding .tex input files; no -- placeholders in tables,DONE,0,E8,yes,
W1,Writing,Introduction,Introduction,C1,mixed,N/A,n/a,Draft the introduction and contribution framing,core,8,Contribution teaser figure,Section drafted with citations and bounded claims,DONE,16,R3,yes,Keep claim language aligned with evidence matrix
W2,Writing,Related work,Related Work,C2,citation,N/A,n/a,Draft a minimal (non-survey) related work that distinguishes this paper,standard,12,Taxonomy mini-table,Section distinguishes at least 3 closest lines of work with citations,DONE,19,R2,yes,
