experiment_id,type,claim_id,dataset,metric,baselines_involved,our_method_variant,expected_outcome,result_status,notes,component_id,severity_levels,params,flops,latency_ms,output_file
EXP-FCST-BASE-PERSIST,main_comparison,C2,ResOpsUS(3 dams),RMSE;NSE;MAE,Persistence,Rolling AR(p) (ours),Hypothesis: lower error and reduced bias drift vs persistence at 1--7 day horizons,verified,Forecast-only comparison; compute both point-skill and regime-split skill,,,,,,forecast_results.csv
EXP-FCST-BASE-ARIMA,main_comparison,C2,ResOpsUS(3 dams),RMSE;NSE;MAE,AR(p) static,Rolling AR(p) (ours),Hypothesis: improved multi-step skill vs classical ARIMA,verified,Statistical baseline: fixed AR(p) fit on training window,,,,,,forecast_results.csv
EXP-FCST-BASE-HBVSTATIC,main_comparison,C2,ResOpsUS(3 dams),RMSE;NSE;MAE,Climatology (DOY mean),Rolling AR(p) (ours),Hypothesis: rolling calibration improves forecast skill under nonstationarity vs static calibration,verified,Seasonal baseline using day-of-year mean inflow,,,,,,forecast_results.csv
EXP-FCST-BASE-MLLSTM,main_comparison,C2,ResOpsUS(3 dams),RMSE;CRPS;coverage,ML-LSTM,Rolling AR(p) (ours),Hypothesis: comparable point-skill with better uncertainty calibration under regime shifts,verified,ML baseline: offline trained; Gaussian residual uncertainty,,,,,,forecast_results.csv
EXP-OP-BASE-STATICDET,main_comparison,C1,ResOpsUS(3 dams),violations;objective,StaticCalib-OpenLoop-DetMPC,closed_loop_full,Hypothesis: closed-loop reduces constraint violations at comparable objective,verified,End-to-end forecast-dispatch-implementation loop evaluation,,,,,,main_results.csv
EXP-OP-BASE-ROLLINGDET,main_comparison,C1,ResOpsUS(3 dams),violations;objective,RollingCalib-OpenLoop-DetMPC,closed_loop_full,Hypothesis: implementation feedback provides additional gains beyond rolling calibration alone,verified,Isolate the value of feedback coupling,,,,,,main_results.csv
EXP-OP-BASE-ROLLINGSCEN,main_comparison,C3,ResOpsUS(3 dams),violations;objective,RollingCalib-OpenLoop-ScenarioMPC,closed_loop_full,Hypothesis: closed-loop improves robustness beyond open-loop scenario MPC,verified,Isolate the value of feedback coupling under uncertainty-aware dispatch,,,,,,main_results.csv
EXP-OP-REF-FULL,main_comparison,C1,ResOpsUS(3 dams),violations;objective,RollingCalib-ClosedLoop-ScenarioMPC-Feedback,closed_loop_full,N/A (reference run),verified,Reference run used for normalized comparisons and sanity checks,,,,,,main_results.csv
EXP-ABL-NOROLL,ablation,C1,ResOpsUS(3 dams),violations;objective,N/A,w/o rolling calibration (static params),Hypothesis: removing rolling calibration degrades performance under regime shifts,verified,Ablation of COMP-2,COMP-2,,,,,ablation_results.csv
EXP-ABL-NOFB,ablation,C1,ResOpsUS(3 dams),violations;objective,N/A,w/o implementation feedback (open loop),Hypothesis: removing feedback weakens closed-loop gains,verified,Ablation of COMP-6,COMP-6,,,,,ablation_results.csv
EXP-ABL-NOSCEN,ablation,C3,ResOpsUS(3 dams),violations;objective,N/A,deterministic dispatch (replace scenario MPC),Hypothesis: removing scenario-based dispatch increases violation risk under forecast uncertainty,verified,Ablation of COMP-5/COMP-4 usage,COMP-5;COMP-4,,,,,ablation_results.csv
EXP-ABL-POINTFCST,ablation,C2,ResOpsUS(3 dams),violations;objective,N/A,point forecast only (no uncertainty propagation),Hypothesis: ignoring forecast uncertainty reduces dispatch reliability,verified,Ablation of probabilistic forecast / scenario generation,COMP-3;COMP-4,,,,,ablation_results.csv
EXP-ROB-REGIMESHIFT,robustness,C2,ResOpsUS(3 dams),violations;objective,Climatology (DOY mean);RollingCalib-OpenLoop-DetMPC,closed_loop_full,Hypothesis: rolling calibration stabilizes forecast skill and operations across regimes,verified,Synthetic multiplicative inflow scaling stress test,,bias_factor_alpha={0.8|0.9|1.0|1.1|1.2},,,,robustness_results.csv
EXP-ROB-OBS-SPARSE,robustness,C4,ResOpsUS(3 dams),violations;objective,N/A,closed_loop_full,Hypothesis: method remains stable with sparse/delayed observations,verified,Missing data and delayed measurement sensitivity,,missing_rate={0%|10%|30%|50%}; delay={0|1|3},,,,robustness_results.csv
EXP-EFF-RUNTIME,efficiency,C4,ResOpsUS(3 dams),runtime per cycle,N/A,closed_loop_full,Hypothesis: per-cycle runtime fits operational cadence (daily or sub-daily),verified,Report per-cycle runtime for calibration+optimization,,,count,estimate,measure,efficiency_results.csv
EXP-ROB-GENERALITY,robustness,C4,ResOpsUS(3 dams),violations;objective,N/A,closed_loop_full,Hypothesis: framework transfers with minimal retuning across reservoirs,verified,Evaluated on three reservoirs with complete records,,,,,,robustness_results.csv
